year,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
1999,10,North Carolina,8446,0,1532,19809,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29922
1999,10,North Dakota,0,0,438,4290,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4745
1999,10,Ohio,0,0,10443,18780,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29770
1999,10,Oklahoma,0,0,4687,11147,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16106
1999,10,Oregon,0,0,4949,8591,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13688
1999,10,Pennsylvania,701,0,1,53760,0,1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56297
1999,10,Rhode Island,0,0,447,578,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102
1999,10,South Carolina,439,0,4311,8038,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12889
1999,10,South Dakota,0,0,414,5083,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5524
1999,10,Tennessee,0,0,10078,13346,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23761
1999,10,Texas,4654,0,19018,43469,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68080
1999,10,Utah,0,0,1704,6232,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8016
1999,10,Vermont,0,0,650,2460,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3129
1999,10,Virginia,0,0,7279,13316,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20783
1999,10,Washington,1119,0,3037,11136,0,163,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15494
1999,10,West Virginia,0,0,3352,12793,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16359
1999,10,Wisconsin,0,0,4123,20534,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24664
1999,10,Wyoming,270,0,795,2406,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3524
1999,9,Alabama,0,0,6743,13170,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20181
1999,9,Alaska,0,0,999,2567,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3623
1999,9,Arizona,1640,0,5840,6406,0,254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14141
1999,9,Arkansas,868,0,3547,12919,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17580
1999,9,California,8101,0,28771,33647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70519
1999,9,Colorado,0,0,8536,16074,0,464,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25084
1999,9,Connecticut,2734,0,1659,2103,0,8,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6599
1999,9,Delaware,0,0,401,1096,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508
1999,9,Florida,0,0,9292,9495,0,350,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20399
1999,9,Georgia,3442,0,7114,12545,0,218,9884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33203
1999,9,Hawaii,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451
1999,9,Idaho,0,0,1662,6041,0,130,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8510
1999,9,Illinois,28734,0,4850,9115,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42852
1999,9,Indiana,0,0,1883,13143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15027
1999,9,Iowa,3287,0,59,4845,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224
1999,9,Kansas,0,0,2492,5840,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8454
1999,9,Kentucky,0,0,6606,13018,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19990
1999,9,Louisiana,0,0,5237,14128,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19591
1999,9,Maine,0,0,1211,4913,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6213
1999,9,Maryland,2792,0,159,4256,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7221
1999,9,Massachusetts,285,0,927,883,0,17,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2344
1999,9,Michigan,9349,0,98,22204,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31658
1999,9,Minnesota,2297,0,2492,20823,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25704
1999,9,Mississippi,0,0,4674,10099,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14959
1999,9,Missouri,0,0,3048,14309,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17471
1999,9,Montana,0,0,1552,5933,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7592
1999,9,Nebraska,1354,0,36,3236,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4628
1999,9,Nevada,0,0,2385,2793,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5328
1999,9,New Hampshire,0,0,1357,2828,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4198
1999,9,New Jersey,0,0,1153,1856,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3058
1999,9,New Mexico,0,0,2655,4844,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7656
1999,9,New York,4496,0,803,11908,0,14,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17319
1999,9,North Carolina,7572,0,1348,15374,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24381
1999,9,North Dakota,0,0,376,3748,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4149
1999,9,Ohio,0,0,8442,16519,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25418
1999,9,Oklahoma,5,0,4123,9383,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13797
1999,9,Oregon,0,0,4907,10486,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15553
1999,9,Pennsylvania,1656,0,0,42302,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45129
1999,9,Rhode Island,0,0,344,438,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860
1999,9,South Carolina,457,0,4235,7866,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12646
1999,9,South Dakota,0,0,319,3621,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3959
1999,9,Tennessee,0,0,7853,11247,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19384
1999,9,Texas,4662,0,16751,43374,0,902,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65731
1999,9,Utah,0,0,1720,5496,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7355
1999,9,Vermont,0,0,602,1982,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603
1999,9,Virginia,0,0,5995,11255,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17429
1999,9,Washington,876,0,2203,8826,0,175,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12125
1999,9,West Virginia,0,0,2987,8754,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11904
1999,9,Wisconsin,0,0,3376,17921,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21306
1999,9,Wyoming,215,0,778,2667,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3724
1999,8,Alabama,0,0,7123,9709,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17095
1999,8,Alaska,0,0,1111,3063,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4243
1999,8,Arizona,1576,0,5621,6008,0,280,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13491
1999,8,Arkansas,505,0,3833,9013,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13582
1999,8,California,8723,0,28841,32619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70183
1999,8,Colorado,0,0,8272,11776,0,534,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20607
1999,8,Connecticut,3295,0,1740,1826,0,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6899
1999,8,Delaware,0,0,422,830,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270
1999,8,Florida,0,0,9946,8591,0,368,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20093
1999,8,Georgia,3650,0,8045,10023,0,235,8706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30659
1999,8,Hawaii,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462
1999,8,Idaho,0,0,1509,3971,0,116,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6435
1999,8,Illinois,24132,0,4988,8730,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38023
1999,8,Indiana,0,0,2187,13033,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15226
1999,8,Iowa,2866,0,49,2902,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5841
1999,8,Kansas,0,0,2686,5005,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7834
1999,8,Kentucky,0,0,6730,11112,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18205
1999,8,Louisiana,0,0,5092,9024,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14292
1999,8,Maine,0,0,1103,2870,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4036
1999,8,Maryland,2561,0,140,3446,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6157
1999,8,Massachusetts,175,0,850,732,0,15,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045
1999,8,Michigan,10005,0,127,13770,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23906
1999,8,Minnesota,2417,0,2675,13076,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18249
1999,8,Mississippi,0,0,4742,8211,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13121
1999,8,Missouri,0,0,3085,11506,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14727
1999,8,Montana,0,0,1597,4313,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5995
1999,8,Nebraska,1235,0,29,2270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3534
1999,8,Nevada,0,0,2437,2216,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4839
1999,8,New Hampshire,0,0,1277,2225,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3514
1999,8,New Jersey,0,0,1295,1778,0,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122
1999,8,New Mexico,0,0,2821,4174,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7147
1999,8,New York,4341,0,838,7844,0,11,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13126
1999,8,North Carolina,8798,0,1389,13380,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23651
1999,8,North Dakota,0,0,422,2277,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2710
1999,8,Ohio,0,0,8667,13157,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22262
1999,8,Oklahoma,0,0,4229,7660,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12145
1999,8,Oregon,0,0,4685,6592,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11452
1999,8,Pennsylvania,1149,0,0,40245,0,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43037
1999,8,Rhode Island,0,0,371,401,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837
1999,8,South Carolina,507,0,4493,6752,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11834
1999,8,South Dakota,0,0,355,2358,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730
1999,8,Tennessee,0,0,8830,10575,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19662
1999,8,Texas,4723,0,16585,35003,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57184
