AnimalID,breed,sex,receiptnumber,dateimpounded,name,dispositiondate,color,approxweight,agecategory,source,status
35298,pug mix,f/s,di 25-203984 db,2025-03-21,squirt,2025-03-22,['black'],unknown,adult,brought-in,redeemed
35302,husky mix,m/n,da - 25 249907,2025-03-24,ziggy (was romeo),2025-07-21,['golden'],unknown,young adult,holding stray,sold
35303,german shepherd mix,m,n/a- medical impound - hb,2025-03-25,marshall,2025-04-01,"['black', 'brown']",unknown,adult,vpd impound,redeemed
35305,cat - dsh tabby,f,unknown,2025-03-25,unknown,2025-03-27,"['brown', 'black']",unknown,adult,holding stray,transferred
35315,doodle mix,m,di 25-212527 - hb,2025-04-10,charlie,2025-04-10,"['white, beige', 'grey']",unknown,adult,holding stray,redeemed
35317,chihuahua,m,n/a - hb,2025-04-10,wesley,2025-04-10,"['brown', 'white']",unknown,adult,holding stray,redeemed
35321,miniature poodle mix,f,di 25-215213 - ja,2025-04-16,kookie,2025-04-17,['white'],unknown,adult,brought-in,redeemed
35322,miniature poodle,m/n,da 25-228252 dc,2025-04-16,archie bunker (now ollie),2025-05-17,['brown'],unknown,adult,holding stray,sold
35326,lab retriever,m,n/a - hb,2025-04-22,lucky,2025-04-22,['brown'],unknown,adult,holding stray,ride home free
35337,corgi/pitbull/pug mix,m/n,da 25-244257 dc,2025-04-23,danny,2025-07-03,['brown'],unknown,adult,seized,sold
35345,corgi/pitbull mix,m,da 25 247557,2025-04-23,chuck,2025-07-04,"['tan', ' white nose', 'snout']",unknown,puppy,seized,sold
35347,pitbull/cane corso,f,n/a- rhf - hb,2025-04-24,nami,2025-04-25,['brindle'],unknown,adult,holding stray,redeemed
35348,pigeon,x,unknown,2025-04-24,unknown,2025-04-24,['unknown'],unknown,adult,brought-in,health
35350,chocolate lab,m/n,di 25-217884 - hb,2025-04-25,brewster,2025-04-25,"['brown', ' white on chest']",unknown,adult,brought-in,redeemed
35351,labrador/retriever,m/n,n/a - rhf - hb,2025-04-25,elmer,2025-04-25,['golden'],unknown,adult,holding stray,ride home free
35353,maltese mix,f,di 25-218277 ja,2025-04-26,chloe,2025-04-26,['white'],unknown,senior,brought-in,redeemed
35355,rottweiler,m,di 25-218879 - hb,2025-04-27,baby bear,2025-04-28,"['brown', 'black']",unknown,senior,holding stray,redeemed
35360,siberian husky mix,f,di 25-221591 pfh,2025-05-01,bella,2025-05-03,"['brown', 'white']",unknown,young adult,holding stray,redeemed
35361,miniature poodle,f,n/a - db,2025-05-02,rapi,2025-05-03,['white'],unknown,adult,holding stray,redeemed
35368,pit bull,f/s,da 25-241142 - nt,2025-05-05,sophia,2025-06-16,"['white', 'grey']",unknown,young adult,vpd impound,sold
35369,lab mix,m/n,n/a - hb,2025-05-05,bubba,2025-05-15,"['black', 'white']",unknown,adult,holding stray,redeemed
35374,samoyed,m,di 25-223830 - dc,2025-05-07,polarmagic king asterion,2025-05-08,['white'],unknown,adult,brought-in,redeemed
35379,cat - dmh tabby,m,unknown,2025-05-08,levi,2025-05-20,"['beige, brown, white']",unknown,adult,holding stray,transferred
35380,samoyed,m,di 25-224849 ja,2025-05-08,jon,2025-05-09,['white'],unknown,adult,holding stray,redeemed
35386,bird - conure mix2,x,unknown,2025-05-10,unknown,2025-05-16,"['green', 'black, orange', 'yellow']",unknown,adult,holding stray,transferred
35387,chihuahua,m,di 25 225142 hb,2025-05-10,dola,2025-05-10,"['white', 'tan']",unknown,adult,holding stray,redeemed
35389,pekingese mix,m,di 25-225437 - ch,2025-05-11,saint,2025-05-12,"['brown, black', 'white']",unknown,young adult,holding stray,redeemed
35392,shiba inu,f,di 226387 - hb,2025-05-12,mika,2025-05-13,"['cream', 'brown']",unknown,adult,holding stray,redeemed
35399,maltese,m,di 25-228502 - hb,2025-05-18,bai jun,2025-05-18,['white'],unknown,young adult,vpd impound,redeemed
35403,budgie,f,unknown,2025-05-20,girlfriend,2025-05-20,"['white', ' blue']",unknown,adult,holding stray,redeemed
14192,lab mix,f/s,21913 bc3,2006-08-24,jaydee (now jade),unknown,"['white', 'brindle']",unknown,unknown,other,sold
14193,akita mix,m,21902 jn12,2006-08-24,digger,unknown,"['black', 'tan']",60 lbs,unknown,complaint,redeemed
14195,terrier mix,m,"21899,bc",2006-08-25,spaz,unknown,"['tan', 'white']",30 lbs,unknown,brought-in,redeemed
14198,gsd (long-haired),m/n,20840 rf4,2006-08-25,jackson,unknown,"['black', 'tan']",97 lbs,unknown,holding stray,ride home free
14201,lab mix shepherd,m/n,21897-ard,2006-08-26,freebie,unknown,"['black', 'white']",70,unknown,holding stray,redeemed
14202,spitz,m,unknown,2006-08-27,mickey,unknown,['white'],unknown,unknown,police-day,ride home free
14203,cairn terrier,m/n,jez,2006-08-27,fergus,unknown,['wheaten'],22lbs,unknown,holding stray,ride home free
14204,shepherd mix sharpei,f/s,21900 - dk,2006-08-28,bailey,unknown,"['tan', 'black']",60lbs,unknown,brought-in,redeemed
14205,collie mix,m/n,20841rf4,2006-08-28,breck,unknown,"['black', 'tan', 'white']",80 lbs,unknown,holding stray,redeemed
14209,lab mix,f/s,21838 - skj,2006-08-29,lupe,unknown,['tan'],30,unknown,holding stray,redeemed
14211,golden retreiver,m/n,n/c,2006-08-29,butter,unknown,['tan'],90 lbs,unknown,holding stray,ride home free
14213,border collie mix,f/s,21909 dt,2006-08-30,molly,unknown,"['black', 'white']",75 lbs,unknown,holding stray,redeemed
14214,shepherd mix,m,nancy,2006-08-31,unknown,unknown,['tan'],unknown,unknown,holding stray,ride home free
14216,rottweiler,m,21912 dt,2006-08-31,remus,unknown,"['black', 'tan']",70 lbs.,unknown,police-day,redeemed
14224,labrador,m/n,22181-ard,2006-05-07,noah,unknown,['yellow'],173.5 lbs,unknown,holding stray,sold
14225,lab mix border collie,f/s,"22502,mc",2006-05-07,kahlua (aka blue),unknown,"['black', 'white on chest']",40 lbs.,unknown,patrol,sold
14226,pitbull mix lab,m/n,"21944,mc",2006-06-14,nobu,unknown,['tan'],55lbs,unknown,complaint,sold
14228,pitbull,f/s,unknown,2006-08-19,elsie,unknown,"['white', 'brown']",64 lbs,unknown,other,court ordered
14230,pit bull mix,m/n,"21917,mc",2006-08-23,mullen,unknown,['fawn'],10,unknown,other,sold
14232,bearded collie mix,m/n,"21923,mc",2006-08-24,bounce,unknown,"['black', 'white', 'grey']",50,unknown,other,sold
14234,lab mix pointer,m/n,21941-dvp,2006-08-28,bart,unknown,"['black', 'white']",40 lbs,unknown,owner-surrendered,sold
14239,chow mix,m/n,21950-dvp#2,2006-08-31,fozzy bear,unknown,"['gold', 'black']",10,unknown,other,sold
14241,pug,f,"21918,mc",2006-09-01,neva,unknown,"['fawn', 'black mask']",25lbs,unknown,holding stray,redeemed
14242,shep mix husky mix collie,m/n,22157 amy,2006-09-01,hank (now milo),unknown,"['black', 'grey', 'white']",55 lbs.,unknown,holding stray,health
14243,dal mix pointer,f/s,21922-ard,2006-09-02,snoopy,unknown,"['black', 'white']",60 lbs,unknown,holding stray,redeemed
14244,english setter,m/n,21924-ard,2006-09-02,dudley,unknown,"['white', 'red']",70 lbs.,unknown,complaint,redeemed
14247,collie mix shep,f/s,22178 dt,2006-09-02,arriva (now chica),unknown,"['black', 'tan']",70 lbs,unknown,other,sold
14248,retriever,m/n,ard,2006-09-02,rufus,unknown,['gold'],75 lbs,unknown,holding stray,ride home free
14249,min pin,m/n,"22168,mc",2006-09-03,willie,unknown,['tan'],20,unknown,patrol,sold
14252,toy poodle,m,21926gp,2006-09-04,spider,unknown,['black'],6 lbs,unknown,holding stray,redeemed
14254,pug,m,n/c bc3,2006-09-05,herman,unknown,['black'],unknown,unknown,brought-in,ride home free
14259,chihuahua,m,21222 ks,2006-09-06,pooh,unknown,"['chocolate', 'white']",3 lbs.,unknown,police-day,redeemed
14260,bichon,m,21936 jn12,2006-09-06,mo money bond,unknown,"['white', 'cream']",10 lbs,unknown,police-night,redeemed
14262,lab mix,m/n,21844 - skj,2006-09-08,stitch,unknown,['black'],80lbs,unknown,holding stray,redeemed
14269,border collie mix terrier,f/s,21949-ard,2006-09-09,minnie,unknown,"['white', 'blue merle']",30 lbs,unknown,patrol,redeemed
14272,muscovy duck,m,22184-dvp,2006-09-09,huey,unknown,['white'],unknown,unknown,spca,sold
14274,muscovy duck,f,22184-dvp,2006-09-09,dewy,unknown,['white'],unknown,unknown,other,sold
14275,am staff,m/n,22153-ard,2006-09-09,hazard,unknown,['blonde brindle'],45 lbs,unknown,police-night,redeemed
14279,golden retreiver,m,rhf ks19,2006-09-11,bo,unknown,['golden'],65 lbs,unknown,holding stray,ride home free
14283,rotty mix,f/s,20848rf4,2006-09-12,marley,unknown,"['black', 'tan']",30 lbs.,unknown,holding stray,redeemed
14284,rough collie,f/s,22162-dvp#2,2006-09-13,blue blue,unknown,['merle sable'],unknown,unknown,holding stray,redeemed
14289,maltipoo mix,m,"22170,mc",2006-09-14,huck,unknown,"['white', 'cream']",10lbs,unknown,complaint,redeemed
14291,old english sheepdog,m/n,"22521,mc",2006-09-15,blue,unknown,"['grey', 'white']",85lbs,unknown,holding stray,redeemed
14292,shih tzu,m,"22174,mc",2006-09-15,pom pom,unknown,"['tan', 'white']",13lbs,unknown,holding stray,redeemed
14293,pug mix,f/s,"22512,dk",2006-09-15,smudge,unknown,"['tan', 'black mask']",19 lbs,unknown,holding stray,sold
14297,pit bull mix mastiff,m,22202 rf4,2006-09-16,gage,unknown,['chocolate'],85,unknown,brought-in,redeemed
14301,shih tzu,m/n,n/c,2006-09-17,teko,unknown,"['grey', 'white']",18lbs,unknown,brought-in,ride home free
14308,labrador mix,f/s,22197 - skj,2006-09-21,booh,unknown,"['black', 'tan', 'white']",55 lbs,unknown,holding stray,redeemed
14310,shep mix collie,m,"22193,mc",2006-09-21,q,unknown,"['black', 'tan']",50 lbs,unknown,holding stray,redeemed
14317,great dane mix,f,22508jf,2006-09-23,sophia,unknown,['brindle'],70 lbs,unknown,complaint,redeemed
14319,american staffordshire,f/s,22210rf4,2006-09-24,brandy cowley,unknown,['red brindle'],60,unknown,brought-in,redeemed
14320,pomeranian,m/n,"201014,dk",2006-09-24,unknown,unknown,['red'],15 lbs,unknown,police-day,redeemed
14331,husky mix akita,m/n,22518 dt,2006-09-28,digger,unknown,['tri colour'],60 lbs,unknown,holding stray,redeemed
14333,lab mix,f/s,km,2006-09-29,maxine,unknown,['black'],80lbs.,unknown,holding stray,ride home free
14334,golden mix,m,22523-ard,2006-09-29,diesel,unknown,['blonde'],50 lbs,unknown,holding stray,redeemed
14335,terrier mix,m/n,22523-ard,2006-09-29,chase,unknown,['tan'],20 lbs,unknown,holding stray,redeemed
14339,bullmastiff mix rottie,m/n,22536dk,2006-06-24,hammer hamhead,unknown,['tan'],90 lbs,unknown,brought-in,sold
14341,sheltie,m/n,"22636,lf",2006-08-11,mac,unknown,"['sable', 'white']",15 lbs,unknown,holding stray,sold
14347,rough collie,m,22601dk,2006-09-01,bramble,unknown,['sable'],70,unknown,complaint,transferred
14351,shep mix husky,m/n,22549dk,2006-09-12,timber,unknown,"['black', 'tan']",65 lbs,unknown,holding stray,sold
14353,retriever mix chow,m/n,"22638,mc",2006-09-21,chowder,unknown,['golden'],40,unknown,brought-in,sold
14354,chihuahua,f/s,"22612,mc",2006-09-25,miss kitty,unknown,"['white', 'black']",6 lbs,unknown,holding stray,sold
14359,husky mix shepherd,f/s,22560 - skj,2006-09-30,flora,unknown,"['black', 'tan']",70 lbs,unknown,brought-in,sold
14360,dalmatian,m/n,22535 - skj,2006-10-01,sam,unknown,"['white', 'black spots']",60lbs,unknown,holding stray,redeemed
14363,shih tzu,f,n/c,2006-10-02,kika,unknown,"['tan', 'black tips on ears']",10 lbs,unknown,holding stray,ride home free
14364,german shepherd,m/n,22217-rf,2006-10-03,buddy,unknown,"['tan', 'black']",75 lbs,unknown,brought-in,redeemed
14367,shep mix,f/s,22655 dt,2006-10-04,veronica,unknown,"['black', 'tan']",65lbs,unknown,brought-in,sold
14370,black mix lab,m/n,22543 - ks,2006-10-04,chubby,unknown,['black'],70 lbs,unknown,holding stray,redeemed
14372,labrador retriever,f/s,21404 dt,2006-10-06,dakota,unknown,['black'],55 lbs,unknown,holding stray,redeemed
14373,chow,m,22225-rf,2006-10-07,willie,unknown,['brown black'],60lbs,unknown,brought-in,redeemed
14375,rooster,m,rf4,2006-10-08,barnard of the barnyard,unknown,['red\r\nmulti coloured'],5 lbs,unknown,patrol,transferred
14381,terrier mix (wire haired),m/n,"22611,mc",2006-10-10,maito,unknown,['tan'],40 lbs,unknown,brought-in,redeemed
14384,guinea pig,f,n/c,2006-10-12,crouton,unknown,"['white', 'cream']",unknown,unknown,holding stray,sold
14385,guinea pig,f,n/c,2006-10-12,skittles,unknown,"['red', 'brown']",unknown,unknown,holding stray,sold
