,date,breed,color,name,sex,state
134,1999-02-26T00:00:00+00:00,Rotty X Shep,Black & Tan,Shylo,F/S,Lost
135,1999-02-26T00:00:00+00:00,Terrier X,Black & White,Cara,F/S,Lost
136,1999-02-27T00:00:00+00:00,Doby,Red,Duby,F/S,Matched
137,1999-02-27T00:00:00+00:00,J.R. Terrier,Salt & Pepper,Rosie,F/S,Lost
138,1999-02-27T00:00:00+00:00,Pitbull,Black,,M/N,Matched
139,1999-02-27T00:00:00+00:00,Rott,Black & Tan,,M/N,Matched
140,1999-03-02T00:00:00+00:00,Boxer,White,Bruno,M,Lost
141,1999-03-03T00:00:00+00:00,Bulldog,Brown & White,Popeye,M,Lost
142,1999-03-03T00:00:00+00:00,Bulldog,White & Blk & Brown,Georgia,F,Lost
143,1999-03-03T00:00:00+00:00,Daschund X Terr,Black & Tan,,M,Lost
144,1999-03-03T00:00:00+00:00,Husky X,Cream & Black,Dustin,M,Lost
145,1999-03-03T00:00:00+00:00,Pit X Lab,Yellow,Mango,F/S,Lost
146,1999-03-03T00:00:00+00:00,Siberian Husky,Black & White & Brown,Miko,M/N,Matched
147,1999-03-03T00:00:00+00:00,Terrier X,Brown,Fanny,F,Found
148,1999-03-04T00:00:00+00:00,Labrador,Black,,M/N,Lost
149,1999-03-04T00:00:00+00:00,Shih Tzu,White,,F,Lost
150,1999-03-04T00:00:00+00:00,Spaniel X,White & Tan,,F,Found
151,1999-03-05T00:00:00+00:00,American Cocker,Blonde,Mise',F/S,Lost
152,1999-03-05T00:00:00+00:00,Cocker Spaniel,Blonde,,F,Found
153,1999-03-05T00:00:00+00:00,Lhasa X Poo,White,Velvet,F/S,Lost
154,1999-03-05T00:00:00+00:00,Rottweiler,Black & Brown,Ravage,M,Lost
155,1999-03-05T00:00:00+00:00,Sheperd X Doberman,Brown & Black,Tara,F/S,Lost
156,1999-03-05T00:00:00+00:00,Sheperd X Lab,Black,Rew,F/S,Lost
157,1999-03-06T00:00:00+00:00,American Eskimo,White,,M/N,Found
158,1999-03-06T00:00:00+00:00,Lab,Black,Louie,M,Matched
159,1999-03-06T00:00:00+00:00,Lab (pup),Golden,,M,Matched
160,1999-03-06T00:00:00+00:00,Pitbull,Chocolate,Tara,F/S,Lost
161,1999-03-08T00:00:00+00:00,Lab,Black,,M/N,Lost
162,1999-03-09T00:00:00+00:00,Golden Retreiver,Golden,Ben,M,Lost
163,1999-03-09T00:00:00+00:00,Lab X Border Collie,Black & White,Cala,F,Lost
164,1999-03-10T00:00:00+00:00,Lab X Pit,Tan,Bull on collar,M/N,Found
165,1999-03-10T00:00:00+00:00,Red - Nose Pitbull,Brown,Ruckess,M,Lost
166,1999-03-10T00:00:00+00:00,Rott X,Black & Tan,Max,M,Lost
167,1999-03-11T00:00:00+00:00,Rott X Shep,Black & White,Cannabis,F,Lost
168,1999-03-13T00:00:00+00:00,Bichon Frise,White,Teddy,M,Lost
169,1999-03-13T00:00:00+00:00,Border Collie,Black & White,Oreo,M/N,Matched
170,1999-03-14T00:00:00+00:00,Beagle X Border Collie,Tri,Jim,M/N,Lost
171,1999-03-15T00:00:00+00:00,Cairn Terr.,Blonde  & Black & White,,M,Matched
172,1999-03-15T00:00:00+00:00,Cairn Terrier,Black & Tan,Hudson,M/N,Matched
173,1999-03-15T00:00:00+00:00,Dog,White,,M,Found
174,1999-03-15T00:00:00+00:00,Lab  X,Black & White chest,,F,Matched
175,1999-03-16T00:00:00+00:00,Bichon X Maltese,White,Koukla,F/S,Matched
176,1999-03-16T00:00:00+00:00,Chi X,Tan & White,,M,Found
177,1999-03-17T00:00:00+00:00,Shih Tzu,White & Gold,,M,Found
178,1999-03-18T00:00:00+00:00,Border Collie,Black & White,Trixie,F/S,Found
179,1999-03-18T00:00:00+00:00,Pitbull,Black &  White Spot on chest,Bruno,M,Lost
180,1999-03-18T00:00:00+00:00,Pitbull,Red,Rukus,M,Lost
