,date,breed,color,sex,state,name
160,1999-03-06,pitbull,['chocolate'],f/s,lost,tara
161,1999-03-08,lab,['black'],m/n,lost,unknown
162,1999-03-09,golden retreiver,['golden'],m,lost,ben
163,1999-03-09,lab mix border collie,"['black', 'white']",f,lost,cala
164,1999-03-10,lab mix pit,['tan'],m/n,found,bull on collar
165,1999-03-10,red - nose pitbull,['brown'],m,lost,ruckess
166,1999-03-10,rott mix,"['black', 'tan']",m,lost,max
167,1999-03-11,rott mix shep,"['black', 'white']",f,lost,cannabis
168,1999-03-13,bichon frise,['white'],m,lost,teddy
169,1999-03-13,border collie,"['black', 'white']",m/n,matched,oreo
170,1999-03-14,beagle mix border collie,['tri'],m/n,lost,jim
171,1999-03-15,cairn terr.,"['blonde ', 'black', 'white']",m,matched,unknown
172,1999-03-15,cairn terrier,"['black', 'tan']",m/n,matched,hudson
173,1999-03-15,dog,['white'],m,found,unknown
174,1999-03-15,lab  mix,"['black', 'white chest']",f,matched,unknown
175,1999-03-16,bichon mix maltese,['white'],f/s,matched,koukla
176,1999-03-16,chi mix,"['tan', 'white']",m,found,unknown
177,1999-03-17,shih tzu,"['white', 'gold']",m,found,unknown
178,1999-03-18,border collie,"['black', 'white']",f/s,found,trixie
179,1999-03-18,pitbull,"['black', ' white spot on chest']",m,lost,bruno
180,1999-03-18,pitbull,['red'],m,lost,rukus
181,1999-03-19,chow mix,"['golden', 'orange']",m/n,lost,unknown
182,1999-03-19,p b shep,"['black', 'tan']",m,lost,chupkin
183,1999-03-19,rottweiler,"['black', 'tan']",m/n,lost,king
184,1999-03-20,dalmation,"['black', 'white']",m,matched,perry
185,1999-03-20,maltipoo,['white'],m,matched,unknown
186,1999-03-20,norweigan elkhound,['multi grey'],f,lost,tessa
187,1999-03-20,norweign elkhound,"['black', 'grey']",f/s,matched,tessa
188,1999-03-20,shep,"['black', 'tan']",m,lost,chubkin
189,1999-03-20,shep mix lab,['black'],m,found,unknown
190,1999-03-20,weimareiner,['grey'],m,lost,galahad
191,1999-03-21,maltese,['white'],m,lost,fluffy
192,1999-03-21,pit mix  greyhound,['brownish black'],f,lost,sophie
193,1999-03-21,sheltie,"['gold', 'white']",m/n,lost,tim
194,1999-03-22,australian blue heeler,"['brown', 'grey white tail']",f,lost,roxy
195,1999-03-22,pomeranian,['orange'],m,lost,ruby
196,1999-03-23,chow,['rust'],m,lost,chewy
197,1999-03-23,sheltie mix,"['black', 'white some brown']",m/n,lost,brew
198,1999-03-23,terrier mix,"['white', 'brown patch over eye']",m/n,lost,simba
199,1999-03-24,husky,"['black', 'white']",m/n,lost,yukon
200,1999-03-24,husky mix chesapeke,['red'],f/s,lost,wosco
201,1999-03-24,malamute mix shep,"['black', 'tan', 'white']",m,matched,unknown
202,1999-03-24,manchester terrier,"['black', 'brown']",m/n,lost,huggy
203,1999-03-25,cocker spaniel,['black'],m/n,lost,faul
204,1999-03-25,husky mix,['white'],f,found,unknown
205,1999-03-26,shep mix,"['black', 'tan']",f/s,lost,karen
206,1999-03-27,dalmation,"['black', 'white spots']",f/s,lost,unknown
207,1999-03-27,golden retriever,['gold'],f,lost,unknown
208,1999-03-28,bichon frise,['white'],f/s,lost,lady
209,1999-03-28,golden retreiver,['golden'],f/s,lost,sasha
210,1999-03-28,lab mix pointer,['black'],f/s,matched,lady
211,1999-03-28,shep mix,"['black', 'tan']",f,found,unknown
212,1999-03-29,husky,"['black', 'white']",f/s,matched,glacier
213,1999-03-29,maltese,['white'],m/n,lost,indian
214,1999-03-29,shih tsu,['brindle'],m,lost,mistro
215,1999-03-30,maltipoo,['white'],f,matched,trixie
216,1999-03-30,shih tsu,['brindle'],m,lost,unknown
217,1999-04-01,border collie,"['black', 'white']",f/s,lost,katie
218,1999-04-01,lab,['yellow'],f,matched,keily
219,1999-04-01,lab mix,['yellow'],m,found,unknown
220,1999-04-02,lab,['golden'],f,lost,shadow
221,1999-04-03,mini-yorkie,"['black', 'brown']",m/n,lost,unknown
222,1999-04-04,lab,['chocolate'],m,found,unknown
223,1999-04-04,terrier mix,"['black', 'tan']",f,found,unknown
224,1999-04-09,border collie mix lab,['black'],f/s,lost,madeline
225,1999-04-09,cairn terrier,"['salt', 'pepper']",m/n,matched,watson
226,1999-04-09,maltese,['white'],m/n,lost,pat
227,1999-04-10,lab mix collie mix beagle,['two black dogs'],m,found,coco
228,1999-04-10,lab mix collie mix beagle,['two black dogs'],m,found,wayne
229,1999-04-10,maltipoo,"['black', 'white']",m,lost,barney
230,1999-04-10,terr mix lab,"['black', 'grey']",m,found,unknown
231,1999-04-11,collie,['black'],f,lost,sheka
232,1999-04-11,poodle,['biege'],m,lost,sparky
233,1999-04-12,terr mix lab,"['tan', 'white']",f/s,matched,amber
234,1999-04-13,border collie lab mix,"['black', 'white']",m/n,matched,dudley
235,1999-04-13,japanese terrier mix,"['black', 'white']",f/s,matched,henny
236,1999-04-13,rott mix shep mix lab,['black'],m,lost,unknown
237,1999-04-13,shep mix rott,"['black', 'tan']",f,lost,sheba
238,1999-04-13,sheperd,"['black', 'tan']",f/s,matched,fuji
239,1999-04-13,shepherd  mix,['cream'],f,found,unknown
240,1999-04-13,yellow lab mix bord collie,"['black', 'gold']",m/n,lost,buster
241,1999-04-14,boxer,"['brown', 'white']",f/s,lost,unknown
242,1999-04-14,j.r. terrier,"['brown', 'white']",m,found,kaspar
243,1999-04-15,pomeranian,"['black', 'tan']",m,lost,mickey
244,1999-04-15,poodle (small),['brown'],m/n,lost,brownie
245,1999-04-16,sheltie,"['brown', 'grey', 'white']",m,found,unknown
246,1999-04-16,shiba inu,['cinnamon'],f/s,lost,nishka
247,1999-04-16,spaniel mix,['reddish'],m,found,unknown
248,1999-04-17,chow,['black'],m,lost,unknown
249,1999-04-17,elkhound  mix,['grey'],m,matched,bear (aka fozzie)
250,1999-04-17,"shep  mix  (small, curly tail)","['black', 'tan']",m,lost,max
251,1999-04-17,shepherd (pup),"['black', 'tan']",m,found,unknown
252,1999-04-18,malti (25 lbs),['white'],f,lost,ginger
