AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO
2102;Pitbull X;;F;10579,LF;2000-06-07;20089;Tigra;200;;Brindle;;;;HOLDING STRAY;Redeemed;10
2105;Australian Heeler X;;M;no charge;2000-06-08;20087;Keegan;200;;Blue Merle;;;;HOLDING STRAY;Behavior;5
2113;Basenji  X;2000-06-19;M/N;10595, BP6;2000-06-10;20068;Benji;200;;Brown & White;;;;HOLDING STRAY;Sold;0
2115;Border Collie X  (pup);;M;10681,FB;2000-06-11;20058;Duke;200;;Black;;;;OWNER-SURRENDERED;Redeemed;0
2118;Shepherd;;M;10688, JC;2000-06-13;20074;Lucky;200;;Tan & Black;;;;HOLDING STRAY;Redeemed;22
2121;Border Collie;;F/S;10588,MC;2000-06-14;20033;Sarah;200;;Black & White;;;;BROUGHT-IN;Redeemed;10
2127;Cocker Spaniel X;;F/S;10590,MC;2000-06-15;20072;Lexie;200;;Blonde;;;;POLICE-DAY;Redeemed;1
2133;Standard Poodle;;F/S;10698 ,ar;2000-06-17;20018;;200;;Black;;;;HOLDING STRAY;Redeemed;1
2134;Chihuahua X Terrier;;M/N;10761-TU;2000-06-17;20058;Chilli;200;;White;;;;HOLDING STRAY;Sold;1
2141;Lab;;F/S;10597, FB;2000-06-19;20033;Tita;200;;Yellow;;;;HOLDING STRAY;Redeemed;18
2143;Pomeranian;;M/N;10753 ,ar;2000-06-20;20073;Cody;200;;Tan & Black;;;;HOLDING STRAY;Redeemed;6
2144;Pitbull;;F;10706-#4;2000-06-22;20030;Molly;200;;Brindle;;;;POLICE-DAY;Redeemed;1
2147;Rott;;M;10758,AR;2000-06-22;20044;Buddy;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;15
2148;Husky;;F;10767-TU;2000-06-24;20019;Luna;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;1
2149;Lab X;;M/N;10709,MC;2000-06-24;20033;Buddy;200;;Black;;;;OTHER;Redeemed;1
2151;Samoyed X;;F;10763wrs;2000-06-26;20070;Chelsea 657-6759;200;;Beige & Blonde;;;;HOLDING STRAY;Redeemed;10
2152;Lab;;M;10765,JC;2000-06-26;20027;;200;;Black;;;;;Redeemed;8
2158;Lab/Shep X;;M/N;;2000-07-24;72;Orbe;25;;Black;;;;;Impound;10
2162;Rat;;M;;1999-12-15;20020;Taylor;200;;White & Black;;;;HOLDING STRAY;Sold;6
2163;Pitbull X;1999-12-29;F/S;10787, FB;1999-12-23;20068;Ashley;200;;Black;;;;BROUGHT-IN;Sold;9
2164;Lab X Dane;2000-01-13;F/S;10732 l.f.;2000-01-05;20086;Tica;200;;Brindle;;;;HOLDING STRAY;Sold;8
2171;Lab X;2000-03-02;M/N;10328,10730,;2000-04-13;20097;Titan;200;;Black;;;;BROUGHT-IN;Sold;4
2186;Red-Nosed Pitbull;;F/S;10711,FB10714-#4;2000-06-30;20033;Mandie;200;;Tan;;;;OWNER-SURRENDERED;Sold;0
2200;Retriever;;M/N;10715,MC;2000-07-05;20028;Cash;200;;Gold & Rust;;;;HOLDING STRAY;Redeemed;15
2203;Rott;;M;10716,MC;2000-07-06;20040;Lucky;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;0
2206;Chihuahua X;;M;10721, ks;2000-07-08;20087;;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;15
2219;Husky X;;M;10731,MB;2000-07-11;20018;;200;;Black & Grey;;;;BROUGHT-IN;Redeemed;0
2220;Rottweiler;;F;10729,MB;2000-07-11;20066;;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;22
2222;Border Collie X;;M;10727, BP6;2000-07-11;20050;;200;;Black & White & Tan;;;;HOLDING STRAY;Redeemed;6
2228;Shep X Collie;2000-07-26;F/S;11426 ar;2000-07-13;20029;Stella;200;;Brown & White;;;;SPCA;Sold;1
2230;Samoyed;;F/S;11405 FB;2000-07-15;20077;Shandi;200;;White;;;;POLICE-DAY;Redeemed;0
2232;Pit X;;M;11410,wrs;2000-07-15;20097;;200;;Tan;;;;HOLDING STRAY;Redeemed;0
2235;Shep X;2000-07-18;F;11413 ar;2000-07-18;20054;;200;;Tri Color;;;;HOLDING STRAY;Redeemed;8
2243;Collie X Shep;;M;11351, AS;2000-07-22;20086;Bear;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;15
2244;Retriever;;M;11354 ,IR;2000-07-22;20072;Skip;200;;Golden;;;;COMPLAINT;Redeemed;18
2245;Maltipoo;;F;11419wrs;2000-07-22;20080;Tasha;200;;White;;;;HOLDING STRAY;Redeemed;18
2248;Husky;;F;11418 JC.;2000-07-24;20084;;200;;Black & White;;;;HOLDING STRAY;Redeemed;10
2249;Pit Bull;2000-07-24;M;11420/11421-TU;2000-07-24;20067;;200;;Black & White;;;;POLICE-DAY;Redeemed;5
2251;Shep X Coonhound;;M/N;11417wrs;2000-07-24;20073;Max;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;5
2252;Shep;;M;11353,MC;2000-07-24;20025;Lucky;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;5
2255;Staff Terr X;;F;11451,AS;2000-07-26;20005;Leah;200;;Black & White;;;;COMPLAINT;Redeemed;0
2257;Shep X Collie;;F;11451,AS;2000-07-26;20005;Rachel;200;;Gold & Black;;;;COMPLAINT;Redeemed;0
2258;Chow X;;M;11429,MC;2000-07-28;20058;Shadow;200;;Black;;;;HOLDING STRAY;Redeemed;1
2263;Husky X;;M;11360 FB;2000-07-30;20084;;200;;Grey/wht;;;;HOLDING STRAY;Redeemed;5
2267;Pit X;2000-08-02;M;;2000-08-02;60;;4;;Brown & White;;;;HOLDING STRAY;Transferred;16
2268;Rat;;F;n/c;1999-12-15;20063;Ben;200;;Black;;;;HOLDING STRAY;Sold;6
2269;Shep;2000-01-26;M/N;"11363 ;FB";2000-03-30;20040;Max;200;;Black & Tan;;;;;Sold;7
2270;Pit X Heeler;2000-04-12;M/N;n/c;2000-03-31;20014;Dougal;200;;White & Black Spots;;;;SPCA;Owner Request - Signed Over;1
2271;Labrabor Pit;2000-06-14;F/S;11378,MC;2000-06-04;20022;Sheena;200;;White & Tan;;;;HOLDING STRAY;Sold;18
2272;Samoyed X Malamute;2000-06-21;F/S;11334 BP6;2000-06-17;20071;Rice;200;;White;;;;OWNER-SURRENDERED;Sold;7
2278;Pitbull X Lab;;F/S;11368-#4;2000-07-21;20083;Sage;200;;Tan;;;;SPCA;Sold;1
2284;Husky X;;F/S;11434,MB;2000-07-26;20077;Pinky;200;;Grey & White;;;;HOLDING STRAY;Sold;15
2285;Pit X Lab;2000-08-11;M/N;n/c;2000-07-26;20093;Dynamite;200;;Blonde;;;;BROUGHT-IN;Behavior;0
2286;Lab X;;M/N;11372,MC;2000-07-27;20076;Chicory or Madison;200;;Dark Brindle;;;;HOLDING STRAY;Sold;0
2289;Shep X;2000-08-09;M/N;11392,JS;2000-07-28;20029;Cinder;200;;Black & Tan;;;;BROUGHT-IN;Sold;0
2290;Chi X Terr;;M;11362,FB;2000-07-29;20068;Calabassa;200;;Beige with Black Specs;;;;SPCA;Redeemed;18
2294;Rottweiler;;M;10353,IR;2000-08-02;20078;;200;;Black & Tan;;;;BROUGHT-IN;Redeemed;6
2295;Ret X Malamute;;M;11435,MC;2000-08-03;20051;Bonk;200;;Gold;;;;BROUGHT-IN;Redeemed;0
2297;Lab;;F;11374 fb;2000-08-03;20051;Bobbie;200;;Black;;;;HOLDING STRAY;Sold;10
2299;Poodle;;M;11438 ar;2000-08-03;20030;;200;;White;;;;HOLDING STRAY;Redeemed;15
28929;Pit Bull;;F;DI 18-519390 DB;2018-02-21;;Rosey;200;2018-02-21;Grey & white;;;Young Adult;COMPLAINT;Redeemed;34
28932;Lab X;;M;18-520115;2018-02-22;;Kuro;200;2018-02-23;Chocolate Brown;;;Puppy;BROUGHT-IN;Redeemed;
28933;Rat, Fancy x 1 Female;;F;DA 18-548642 - KC;2018-02-22;;Bippity;200;2018-04-17;Brown & White;;;Young Adult;BROUGHT-IN;Sold;
28935;Pit X;;M;DI 18-521815 DB;2018-02-26;;Mack Daddy;200;2018-02-27;Brown w/White on chest;;;Young Adult;HOLDING STRAY;Redeemed;34
28942;Chihuahua;2018-03-15;M/N;DA 18-548688 - kC;2018-03-01;;Liam - new name;200;2018-04-17;Tan;Yellow;;Adult;HOLDING STRAY;Sold;41
28944;Labrador;;F/S;DI 18-526051 AKH;2018-03-02;;Luna;200;2018-03-03;Black;;;Adult;HOLDING STRAY;Redeemed;32
28948;Germ. Shepherd;;F;n/a;2018-03-03;;She Ra;400;2018-03-04;White;;;Adult;HOLDING STRAY;Ride Home Free;26
28953;Chihuahua;;M/N;DI 18-526407 AK;2018-03-03;;Stuart;200;2018-03-04;Brown;;;Adult;HOLDING STRAY;Redeemed;28
28956;Corgi;;F/S;RHF-n/c-AK;2018-03-04;;Bingo;400;2018-03-04;Black;;;Senior;HOLDING STRAY;Ride Home Free;28
28958;Husky/Germ Shep cross;;F;;2018-03-05;;Mishka;200;2018-03-07;Tan and brown;;;Adult;BROUGHT-IN;Redeemed;12
28959;Malinois;;M;;2018-03-05;;Thunder;400;2018-03-05;Black/Tan;;;Adult;OTHER;Ride Home Free;21
28964;Doberman Pinscher;;F;RHF-n/c-AK;2018-03-08;;Angel;400;2018-03-08;Black & Tan;;;Senior;HOLDING STRAY;Ride Home Free;26
28974;Labrador;;M;DI 18-530075 AK;2018-03-12;;Kuro;200;2018-03-12;Chocolate;;;Puppy;HOLDING STRAY;Redeemed;21
28975;JRT X;;M/N;DI18-530945 AK;2018-03-12;;Dexter;200;2018-03-13;White & Brown;;;Adult;HOLDING STRAY;Redeemed;42
28976;Husky/Germ Shep cross;;F;DI 18-530938 DB;2018-03-13;;Mishka;200;2018-03-13;Brown, Tan and white;;;Adult;HOLDING STRAY;Redeemed;12
28977;Terrier X;;M/N;DI 18-531457 AK;2018-03-13;;Tippy;200;2018-03-14;White;;;Adult;HOLDING STRAY;Redeemed;12
28980;Chicken;;F;;2018-03-13;;;200;2018-03-14;Brown/Orange;;;Adult;OTHER;Redeemed;21
28982;Shih Tzu;;F/S;DI 18-531977 AK;2018-03-14;;Lady;200;2018-03-15;Tan & White;;;Adult;HOLDING STRAY;Redeemed;41
28985;Lab/Border collie X;;F/S;DI 18-532058 DB;2018-03-15;;Katie;200;2018-03-15;Black w/grey;;;Adult;HOLDING STRAY;Redeemed;28
28986;Shiba Inu;;F;n/a;2018-03-16;;Abby;400;2018-03-16;Brown & White;;;Adult;HOLDING STRAY;Ride Home Free;32
28992;Poodle X;;M;DI 18-533425 AK;2018-03-17;;Ice Cream;200;2018-03-19;White;;;Adult;HOLDING STRAY;Redeemed;14
28994;Rottie X;2018-03-27;M/N;DA 18-547040 DB;2018-03-18;;Bear;200;2018-04-14;Brown & white;Yellow;;Adult;HOLDING STRAY;Sold;ACO28
28998;Chihuahua;;M;DI 18-533351 Ak;2018-03-19;;Kong;200;2018-03-19;Black;;;Puppy;POLICE-NIGHT;Redeemed;34
29001;Shih Tzu X;;M;DI 18-535724 DB;2018-03-19;;Hot Dog;200;2018-03-23;Black & Grey;;;Adult;HOLDING STRAY;Redeemed;28
29003;Maltese;2018-03-26;M/N;DA 18-543488 AK;2018-03-20;;Hercules (new name);200;2018-04-05;White;Green;;Adult;BROUGHT-IN;Sold;
29005;Rabbit, Domestic;2019-04-16;F/S;DA 19-241685 AKH;2018-03-21;;Sandy (new name);200;2019-06-23;Black/Brown;;;Adult;HOLDING STRAY;Sold;26
29015;Terrier;;F/S;DI 18-536122;2018-03-24;;Mothball;200;2018-03-24;Tan;;;Adult;BROUGHT-IN;Redeemed;
29016;Labrador;;F;;2018-03-25;;Abbi (new name);100;2018-06-12;Black;Yellow;;Adult;BROUGHT-IN;Health;ACO 11
29017;Labrador;;M/N;;2018-03-25;;Opie;100;2018-03-25;Black;;;Young Adult;POLICE-NIGHT;Transferred;11
29021;Pomeranian;;M/N;DI 18-538262 DB;2018-03-26;;Simba;200;2018-03-27;Red;;;Adult;HOLDING STRAY;Redeemed;21
29023;Alaskan Malamute;;M;n/a;2018-03-26;;Dubai;400;2018-03-27;Black & White;;;;HOLDING STRAY;Ride Home Free;21
29024;Germ. Shepherd;;F/S;DI 18-538701 DB;2018-03-27;;BoBo;200;2018-03-28;Black & Tan;;;Senior;HOLDING STRAY;Redeemed;21
29025;Maltese;;F/S;see notes;2018-03-27;;Zoey;100;2018-05-04;White;;;Adult;POLICE-DAY;Transferred;41
29030;Chinese Crested Dog;;F/S;DI 18-539147 DB;2018-03-28;;Maizie;200;2018-03-29;Brown/White;;;Adult;HOLDING STRAY;Redeemed;21
29031;Min.Pin/Min.Poodle X;;M/N;DI 18-539161 DB;2018-03-29;;Kaz;200;2018-03-29;Grey;;;Adult;HOLDING STRAY;Redeemed;32
29039;Toy Poodle;;F;n/a;2018-04-03;;Aurora;400;2018-04-04;Brown;;;Adult;HOLDING STRAY;Ride Home Free;41
29045;Husky X;;M/N;n/a;2018-04-06;;Zorro;400;2018-04-06;Black/Brown/White;;;Adult;HOLDING STRAY;Ride Home Free;28
29046;Lab X;;F/S;DI 18-545252 - KC;2018-04-06;;Bailley;200;2018-04-09;Black;;;Adult;HOLDING STRAY;Redeemed;28
29048;Miniature Pinscher;2018-04-25;M/N;DA 18-552190 AKH;2018-04-08;;Taz - (now Frankie);200;2018-04-25;Black & Brown;Yellow;;Senior;HOLDING STRAY;Sold;41
29052;Rabbit, American Rabbit;;X;;2018-04-09;;;100;2018-04-10;Grey;;;;BROUGHT-IN;Transferred;
29053;Rabbit, American Rabbit;;X;;2018-04-09;;;100;2018-04-10;Black;;;;BROUGHT-IN;Transferred;
29056;Rabbit, American Rabbit;;X;;2018-04-09;;;100;2018-04-10;Black;;;;BROUGHT-IN;Transferred;
29057;Beagle;;M/N;RHF/NC - KC;2018-04-09;;Rocky;200;2018-04-09;Black/Brown/White;;;Adult;POLICE-DAY;Redeemed;41
29058;Formosan X;2018-04-16;F/S;DA 18-549497 - KC;2018-04-09;;Maisie (new name);200;2018-04-20;Black;Yellow;;Young Adult;HOLDING STRAY;Sold;41
